order_item_id,order_id,created_at,customer_id,channel_id,sku,item_name,quantity,unit_price,cost_price,status,promo_label,unit_price_num,created_ts,date,year_month,is_blank_sku,is_ghost_sku,is_excluded,is_canceled,is_reversal,is_sale,is_counted,line_gmv,line_cogs
ITEM-10001,ORD-1001,2025-05-01 10:37:00,CUST-0013,CH-MP-B,SKU-GRD-002,Conical-Burr Grinder,2,"฿20,456",12000,delivered,,20456.0,2025-05-01 10:37:00,2025-05-01,2025-05,False,False,False,False,False,True,True,40912.0,24000
ITEM-10002,ORD-1002,2025-05-01 12:28:00,CUST-0112,CH-MP-A,SKU-FLT-001,Paper Filter V60 100ct,1,174,85,delivered,,174.0,2025-05-01 12:28:00,2025-05-01,2025-05,False,False,False,False,False,True,True,174.0,85
ITEM-10003,ORD-1003,2025-05-01 21:21:00,CUST-0004,CH-OWN,SKU-PRT-001,Bottomless Portafilter 58mm,1,2790,1400,delivered,,2790.0,2025-05-01 21:21:00,2025-05-01,2025-05,False,False,False,False,False,True,True,2790.0,1400
ITEM-10004,ORD-1004,2025-05-01 15:05:00,CUST-0184,CH-OWN,SKU-ESP-002,Single-Boiler Espresso Machine,1,38000,22000,delivered,,38000.0,2025-05-01 15:05:00,2025-05-01,2025-05,False,False,False,False,False,True,True,38000.0,22000
ITEM-10005,ORD-1005,2025-05-01 12:49:00,CUST-0317,CH-OWN,SKU-KTL-001,Variable-Temp Gooseneck Kettle,1,"฿6,900",3800,delivered,,6900.0,2025-05-01 12:49:00,2025-05-01,2025-05,False,False,False,False,False,True,True,6900.0,3800
ITEM-10006,ORD-1006,2025-05-01 14:22:00,CUST-0120,CH-OWN,SKU-DIS-001,WDT Distribution Tool,1,990,450,delivered,,990.0,2025-05-01 14:22:00,2025-05-01,2025-05,False,False,False,False,False,True,True,990.0,450
ITEM-10007,ORD-1007,2025-05-01 13:59:00,CUST-0350,CH-MP-B,SKU-GRD-003,Hand Grinder Titanium,1,7328,4200,delivered,,7328.0,2025-05-01 13:59:00,2025-05-01,2025-05,False,False,False,False,False,True,True,7328.0,4200
ITEM-10008,ORD-1008,01/05/2025 10:13  ,CUST-0351,CH-MP-A,SKU-ESP-002,Single-Boiler Espresso Machine,1,37407,22000,delivered,,37407.0,2025-05-01 10:13:00,2025-05-01,2025-05,False,False,False,False,False,True,True,37407.0,22000
ITEM-10009,ORD-1008,01/05/2025 16:25  ,CUST-0351,CH-MP-A,SKU-KTL-002,Stovetop Gooseneck Kettle,1,2345,1200,delivered,,2345.0,2025-05-01 16:25:00,2025-05-01,2025-05,False,False,False,False,False,True,True,2345.0,1200
ITEM-10010,ORD-1009,2025-05-01 18:25:00,CUST-0074,CH-MP-A,SKU-FLT-001,Paper Filter V60 100ct,1,176,85,delivered,,176.0,2025-05-01 18:25:00,2025-05-01,2025-05,False,False,False,False,False,True,True,176.0,85
ITEM-10011,ORD-1010,2025-05-02 10:24:00,CUST-0261,CH-MP-B,SKU-GRD-001,Flat-Burr Grinder 64mm,1,31467,18500,delivered,,31467.0,2025-05-02 10:24:00,2025-05-02,2025-05,False,False,False,False,False,True,True,31467.0,18500
ITEM-10012,ORD-1010,2025-05-02 22:00:00,CUST-0261,CH-MP-B,SKU-GRD-002,Conical-Burr Grinder,3,"฿20,208",12000,delivered,,20208.0,2025-05-02 22:00:00,2025-05-02,2025-05,False,False,False,False,False,True,True,60624.0,36000
ITEM-10013,ORD-1011,02/05/2025 09:46  ,CUST-0275,CH-OWN,SKU-FRT-002,Milk Frothing Pitcher 350ml,1,690,320,delivered,,690.0,2025-05-02 09:46:00,2025-05-02,2025-05,False,False,False,False,False,True,True,690.0,320
ITEM-10014,ORD-1011,02/05/2025 11:32  ,CUST-0275,CH-OWN,SKU-GRD-001,Flat-Burr Grinder 64mm,1,32000,18500,delivered,,32000.0,2025-05-02 11:32:00,2025-05-02,2025-05,False,False,False,False,False,True,True,32000.0,18500
ITEM-10015,ORD-1012,02/05/2025 17:49  ,CUST-0153,CH-OWN,SKU-KTL-001,Variable-Temp Gooseneck Kettle,1,6900,3800,delivered,,6900.0,2025-05-02 17:49:00,2025-05-02,2025-05,False,False,False,False,False,True,True,6900.0,3800
